Transdecoder protein IDs	Transcript ID	Expression value	Blast-P toxprot (sseqid)	E-value	Bitscore	Blast-P UniProt Apocrita (sseqid)	E-value	Bitscore	Blast-P UniProt All (sseqid)	E-value	Bitscore	Physiological association	Venom protein family
TRINITY_DN1249_c0_g1_i1.p11	TRINITY_DN1249_c0_g1_i1	18.00976628	NA	NA	NA	NA	NA	NA	Uncharacterized/Mellitin	2.30E-17	188	Toxin	Mellitin
TRINITY_DN6995_c0_g2_i2.p4	TRINITY_DN6995_c0_g2_i2	19.97189537	Melittin	9.34E-12	49.7	Melittin	9.91E-13	49.7	Melittin	9.32E-09	50.4	Toxin	Mellitin
TRINITY_DN3849_c0_g2_i3.p9	TRINITY_DN3849_c0_g2_i3	19.99364921	Melittin	4.18E-09	42.4	Melittin	4.44E-10	42.4	Melittin	0.00000774	42.4	Toxin	Mellitin
TRINITY_DN3929_c0_g1_i1.p3	TRINITY_DN3929_c0_g1_i1	23.31658417	Melittin	0.000000059	39.3	Melittin	6.27E-09	39.3	Melittin	0.000131	39.3	Toxin	Mellitin
TRINITY_DN2882_c0_g1_i3.p3	TRINITY_DN2882_c0_g1_i3	34.73149601	Melittin	3.14E-13	53.9	Melittin	3.34E-14	53.9	Melittin	7E-10	53.9	Toxin	Mellitin
NODE_51757_length_254_cov_0.849162_g45996_i0.p2	NODE_51757_length_254_cov_0.849162_g45996_i0	62.31264808	Melittin	1.53E-16	62.8	Melittin	1.62E-17	62.8	Melittin	3.4E-13	62.8	Toxin	Mellitin
TRINITY_DN8492_c0_g1_i2.p5	TRINITY_DN8492_c0_g1_i2	162.610691	Melittin	1.96E-11	50.1	Melittin	2.08E-12	50.1	Melittin	4.22E-08	50.1	Toxin	Mellitin
TRINITY_DN3221_c0_g1_i3.p1	TRINITY_DN3221_c0_g1_i3	202.6841927	Melittin	2.3E-13	55.8	Melittin	2.44E-14	55.8	Melittin	2.51E-10	56.2	Toxin	Mellitin
TRINITY_DN350_c7_g1_i1.p1	TRINITY_DN350_c7_g1_i1	17808.41482	Melittin	6.38E-15	58.5	Melittin	6.77E-16	58.5	Melittin	5.2E-12	59.3	Toxin	Mellitin
TRINITY_DN5_c2_g1_i1.p1	TRINITY_DN5_c2_g1_i1	328360.2366	Melittin	4.65E-47	140	Melittin	4.94E-48	140	Melittin	1.04E-43	140	Toxin	Mellitin
TRINITY_DN5_c2_g1_i1.p2	TRINITY_DN5_c2_g1_i1	328360.2366	Melittin	4.65E-47	140	Melittin	4.94E-48	140	Melittin	1.04E-43	140	Toxin	Mellitin
TRINITY_DN176_c0_g2_i29.p1	TRINITY_DN176_c0_g2_i29	9.562062815	Venom metalloproteinase 3	6.8E-34	129	Venom metalloproteinase 3	7.22E-35	129	Peptidase M12B domain-containing protein	0	1202	Toxin	Metalloprotease M12B
NODE_15441_length_913_cov_534.093079_g10606_i0.p1	NODE_15441_length_913_cov_534.093079_g10606_i0	349.3200055	Peroxiredoxin-4 (Fragments)	4.9E-17	67.8	NA	NA	NA	Thioredoxin domain-containing protein	2.52E-143	402	Venom component	Peroxiredoxin 4
NODE_13401_length_1105_cov_468.260000_g9314_i0.p1	NODE_13401_length_1105_cov_468.260000_g9314_i0	2.385192673	Peroxiredoxin-4 (Fragments)	8.72E-18	68.9	NA	NA	NA	Thioredoxin domain-containing protein	3.38E-109	314	Venom component	Peroxiredoxin4
NODE_11040_length_1349_cov_3010.901099_g4121_i3.p1	NODE_11040_length_1349_cov_3010.901099_g4121_i3	1607.576301	Phospholipase A2	2.42E-127	350	Phospholipase A2	2.57E-128	350	Phospholipase A2	5.4E-124	350	Toxin	Phospholipase  A2
NODE_53677_length_249_cov_0.873563_g47916_i0.p1	NODE_53677_length_249_cov_0.873563_g47916_i0	0.929055166	Phospholipase A2	5.38E-28	94	Phospholipase A2	5.71E-29	94	Phospholipase A2 (Fragment)	6.86E-25	93.6	Toxin	Phospholipase A2
NODE_40674_length_288_cov_0.824034_g35010_i0.p2	NODE_40674_length_288_cov_0.824034_g35010_i0	1.34689755	Phospholipase A2	1.04E-36	116	Phospholipase A2	1.1E-37	116	Phospholipase A2	2.31E-33	116	Toxin	Phospholipase A2
NODE_7908_length_1851_cov_1172.670045_g4121_i1.p4	NODE_7908_length_1851_cov_1172.670045_g4121_i1	78.11391077	Phospholipase A2	8.94E-34	109	Phospholipase A2	9.48E-35	109	Phospholipase A2	1.1E-30	110	Toxin	Phospholipase A2
R1036651.p1	R1036651	949.9860718	Phospholipase A2	3.5E-49	156	Phospholipase A2	3.71E-50	156	PA2c domain-containing protein	5.07E-127	362	Toxin	Phospholipase A2
NODE_27106_length_438_cov_721.168044_g21398_i0.p1	NODE_27106_length_438_cov_721.168044_g21398_i0	266.1292996	NA	NA	NA	NA	NA	NA	PVF1 variant 1 (Fragment)	5.22E-49	161	Venom component	PVF1
NODE_16160_length_860_cov_4556.777070_g11199_i0.p1	NODE_16160_length_860_cov_4556.777070_g11199_i0	17.80246022	Secapin	3.9E-53	156	Secapin	4.14E-54	156	Secapin	8.68E-50	156	Toxin	Secapin
TRINITY_DN9_c0_g1_i1.p1	TRINITY_DN9_c0_g1_i1	5370.349558	Secapin	3.9E-53	156	Secapin	4.14E-54	156	Secapin	8.68E-50	156	Toxin	Secapin
R1024865.p1	R1024865	103.0537267	Snake venom 5'-nucleotidase	2.25E-139	414	NA	NA	NA	Uncharacterized protein	0	1222	Venom component	Snake venom 5'-nucleotidase
TRINITY_DN1093_c0_g3_i2.p1	TRINITY_DN1093_c0_g3_i2	179.524656	NA	NA	NA	NA	NA	NA	Superoxide dismutase [Cu-Zn]	9.92E-124	351	Venom component	Superoxide dismutase
NODE_14318_length_1026_cov_588.271885_g10016_i0.p1	NODE_14318_length_1026_cov_588.271885_g10016_i0	308.5600124	NA	NA	NA	NA	NA	NA	Superoxide dismutase [Cu-Zn]	5.76E-106	304	Venom component	Superoxide dismutase
NODE_9157_length_1632_cov_16.547848_g5858_i0.p1	NODE_9157_length_1632_cov_16.547848_g5858_i0	1.86670295	Venom acid phosphatase Acph-1	0	800	Venom acid phosphatase Acph-1	0	800	Venom acid phosphatase Acph-1	0	826	Toxin	Venom acid phosphatase Acph-1
TRINITY_DN1533_c3_g1_i1.p1	TRINITY_DN1533_c3_g1_i1	22.82425731	Venom acid phosphatase Acph-1	3.4E-70	221	Venom acid phosphatase Acph-1	3.6E-71	221	Uncharacterized protein	0	754	Toxin	Venom acid phosphatase Acph-1
TRINITY_DN8560_c0_g1_i1.p2	TRINITY_DN8560_c0_g1_i1	24.08815798	Venom acid phosphatase Acph-1	0	800	Venom acid phosphatase Acph-1	0	800	Venom acid phosphatase Acph-1	0	826	Toxin	Venom acid phosphatase Acph-1
TRINITY_DN11539_c0_g1_i7.p1	TRINITY_DN11539_c0_g1_i7	39.166806	Venom carboxylesterase-6	0	724	Venom carboxylesterase-6	0	724	Carboxylic ester hydrolase	0	724	Venom component	Venom carboxylesterase-6
TRINITY_DN11539_c0_g1_i9.p2	TRINITY_DN11539_c0_g1_i9	44.07062859	Venom carboxylesterase-6	1.37E-105	308	Venom carboxylesterase-6	1.46E-106	308	Venom carboxylesterase-6	3.06E-102	308	Toxin	Venom carboxylesterase-6
TRINITY_DN55_c0_g3_i1.p1	TRINITY_DN55_c0_g3_i1	305.6365745	Venom serine carboxypeptidase	0	962	Venom serine carboxypeptidase	0	962	Venom serine carboxypeptidase	0	962	Toxin	Venom serine carboxypeptidase
NODE_10530_length_1432_cov_7.620915_g7215_i0.p1	NODE_10530_length_1432_cov_7.620915_g7215_i0	3.519486718	Venom serine protease 34	0	828	Venom serine protease 34	0	828	Venom serine protease 34	0	828	Toxin	Venom serine protease
NODE_10174_length_1471_cov_85.495702_g6621_i0.p1	NODE_10174_length_1471_cov_85.495702_g6621_i0	15.13873563	Blarina toxin	2.19E-28	104	Chymotrypsin-1	4.74E-30	105	Peptidase S1 domain-containing protein	5.37E-163	455	Toxin	Venom serine protease
R1027523.p1	R1027523	25.37254108	Snake venom serine protease BITS01A	4.11E-30	110	Chymotrypsin-1	3.39E-32	112	Peptidase S1 domain-containing protein	0	540	Toxin	Venom Serine Protease
R1025617.p1	R1025617	160.7505809	Venom serine protease Bi-VSP	7.6E-171	476	Venom serine protease Bi-VSP	8.06E-172	476	Peptidase S1 domain-containing protein	0	733	Toxin	Venom serine protease
NODE_8360_length_1756_cov_674.852440_g5640_i0.p1	NODE_8360_length_1756_cov_674.852440_g5640_i0	5.44999885	Allergen Api m 6.03 / Api m 6.04	4.03E-36	114	Allergen Api m 6.03 / Api m 6.04	4.28E-37	114	Allergen Api m 6.03 / Api m 6.04	8.97E-33	114	Toxin	Venom serine protease inhibitor
TRINITY_DN19063_c0_g1_i4.p1	TRINITY_DN19063_c0_g1_i4	10.28040319	Venom serine protease inhibitor	3.63E-12	52.8	Chymotrypsin inhibitor	4.64E-38	115	Chymotrypsin inhibitor	1.66E-48	152	Venom component	Venom serine protease inhibitor
